,flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
80,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B28,13.0,2022-04-03T07:01:00+00:00,2022-04-03T07:01:00+00:00,2022-04-03T07:14:00+00:00,2022-04-03T07:14:00+00:00,2022-04-03T07:14:00+00:00,Will Rogers World Airport,America/Chicago,OKC,KOKC,4,6,,,2022-04-03T08:06:00+00:00,2022-04-03T08:06:00+00:00,2022-04-03T07:54:00+00:00,2022-04-03T07:54:00+00:00,2022-04-03T07:54:00+00:00,American Airlines,AA,AAL,5734,AA5734,AAL5734,,,,,,,,,,,,,
81,2022-04-03,unknown,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,,,,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,,,,Birmingham,America/Chicago,BHM,KBHM,1,,,,2022-04-03T08:46:00+00:00,2022-04-03T08:46:00+00:00,,,,American Airlines,AA,AAL,3840,AA3840,AAL3840,,,,,,,,,,,,,
82,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C28,23.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:23:00+00:00,2022-04-03T07:23:00+00:00,2022-04-03T07:23:00+00:00,Los Angeles International,America/Los_Angeles,LAX,KLAX,4,49B,T4B,,2022-04-03T08:26:00+00:00,2022-04-03T08:26:00+00:00,2022-04-03T08:16:00+00:00,2022-04-03T08:16:00+00:00,2022-04-03T08:16:00+00:00,American Airlines,AA,AAL,2853,AA2853,AAL2853,,N946NN,B738,B738,AD24AB,,,,,,,,
83,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A33,64.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:55:00+00:00,2022-04-03T07:55:00+00:00,2022-04-03T07:55:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,N,T12,8,24.0,2022-04-03T10:06:00+00:00,2022-04-03T10:06:00+00:00,2022-04-03T10:30:00+00:00,2022-04-03T10:30:00+00:00,2022-04-03T10:30:00+00:00,American Airlines,AA,AAL,2778,AA2778,AAL2778,,,,,,,,,,,,,
84,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A39,42.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:41:00+00:00,2022-04-03T07:41:00+00:00,2022-04-03T07:41:00+00:00,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,E15,03,18.0,2022-04-03T09:23:00+00:00,2022-04-03T09:23:00+00:00,2022-04-03T09:47:00+00:00,2022-04-03T09:47:00+00:00,2022-04-03T09:47:00+00:00,American Airlines,AA,AAL,2593,AA2593,AAL2593,,,,,,,,,,,,,
85,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,B,B9,13.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:13:00+00:00,2022-04-03T07:13:00+00:00,2022-04-03T07:13:00+00:00,Logan International,America/New_York,BOS,KBOS,B,B10,1,,2022-04-03T11:37:00+00:00,2022-04-03T11:37:00+00:00,2022-04-03T11:16:00+00:00,2022-04-03T11:16:00+00:00,2022-04-03T11:16:00+00:00,American Airlines,AA,AAL,2297,AA2297,AAL2297,,,,,,,,,,,,,
86,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C2,37.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:36:00+00:00,2022-04-03T07:36:00+00:00,2022-04-03T07:36:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,H16,,4.0,2022-04-03T09:22:00+00:00,2022-04-03T09:22:00+00:00,2022-04-03T09:32:00+00:00,2022-04-03T09:32:00+00:00,2022-04-03T09:32:00+00:00,American Airlines,AA,AAL,2220,AA2220,AAL2220,,N120EE,A321,A321,A0541B,,,,,,,,
87,2022-04-03,cancelled,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A21,18.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,,,,Charlotte Douglas,America/New_York,CLT,KCLT,2,B6,B,,2022-04-03T10:33:00+00:00,2022-04-03T10:33:00+00:00,,,,American Airlines,AA,AAL,1946,AA1946,AAL1946,,,,,,,,,,,,,
88,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A25,35.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:35:00+00:00,2022-04-03T07:35:00+00:00,2022-04-03T07:35:00+00:00,Orlando International,America/New_York,MCO,KMCO,B,56,24,9.0,2022-04-03T10:30:00+00:00,2022-04-03T10:30:00+00:00,2022-04-03T10:41:00+00:00,2022-04-03T10:41:00+00:00,2022-04-03T10:41:00+00:00,American Airlines,AA,AAL,1709,AA1709,AAL1709,,N163AA,A321,A321,A0FCD4,,,,,,,,
89,2022-04-03,landed,,,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,C,C26,12.0,2022-04-03T07:00:00+00:00,2022-04-03T07:00:00+00:00,2022-04-03T07:12:00+00:00,2022-04-03T07:12:00+00:00,2022-04-03T07:12:00+00:00,Tulsa International,America/Chicago,TUL,KTUL,S,A5,,,2022-04-03T08:05:00+00:00,2022-04-03T08:05:00+00:00,2022-04-03T08:00:00+00:00,2022-04-03T08:00:00+00:00,2022-04-03T08:00:00+00:00,American Airlines,AA,AAL,1579,AA1579,AAL1579,,,,,,,,,,,,,
